,ID,Name,Ort,Beschreibung,Indoor ,Preis,Familie,Paar,Abenteuer,Erholung,Bewertung,AnzahlBewertung,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5,Keyword6,Keyword7,Keyword8
10,11,Lasertag,Osnabrück,"Der bahnbrechende Freizeitspaß aus Übersee hat endlich den Sprung über den großen Teich geschafft. Nun könnt auch Ihr die Verschmelzung von Live-Aktion und Computerspiel erleben. Mit einem ""Phaser"" und einer Weste ausgerüstet düst Ihr durch eine aufregende Arena. Sucht Deckung hinter Wänden, lauft über die Rampe und nutzt jede Nische um Euer Team zum Sieg zu führen.",1,1,0,1,1,0,4.5,479,,,,,,,,
11,12,Boulderhalle,Osnabrück,Die geläufige Definition für Bouldern (englisch „boulder“ = Felsblock) ist „Klettern ohne Sicherung in Absprunghöhe über Fallschutzmatten“. Seit den 1970ern existiert Bouldern als eigenständige Disziplin des Sportkletterns. Seither wächst die Zahl der Boulderinnen und Boulderer stetig und es ist kein Ende in Sicht.,1,1,0,1,1,0,4.7,572,,,,,,,,
12,13,Filmpassage ,Osnabrück,"„Kino machen, wie das Publikum es will!“ – Das ist der Leitsatz der Filmpassage in der Johannisstraße. Ob Actionfilm oder Komödie: Digitalisierte Kinosäle mit 3D-Bildern, digitalem Surround-Sound und sogar einzigartigen Motion Seats sorgen hier für große Erlebnisse für die ganze Familie! 

Unter dem Label „Filmpassage de luxe“ dürfen anspruchsvolle Besucher Komfort in 130 Ledersesseln und -couchen mit dimmbaren Tischleuchten erwarten. Wer's gemütlich mag, kuschelt sich in Saal 8 in die Sitzsäcke des Kooperationspartners fatboy – perfektes Ambiente auch für Kinderfilme! Montags ist regelmäßig Sneak Preview-Tag, donnerstags gibt's Filme im englischen Originalton. 

Ob im Sitzsack oder Ledersessel, ob Premiere, Klassiker oder Überraschungsfilm: Langweilig wird’s hier nie!",1,1,0,1,0,1,4.3,2197,,,,,,,,
13,14,Hof Gösling,Osnabrück,"Der Hof Gösling liegt nördlich des Osnabrücker Zweigkanals, zwischen Hasetal und Piesberg, am Fuße des Schürhügels.

Wir sind ein in langer Tradition geführter Hof mit Milchviehwirtschaft.  Wir laden Sie ein, sich auf unserer Internetseite zu informieren, oder den Hof im Rahmen einer Führung kennenzulernen. Wir fühlen uns der Natur wie den Tieren verpflichtet, aber auch Ihnen als Verbraucher. Wir freuen uns auf Sie und heißen Sie gern persönlich willkommen. ",0,0,1,1,1,0,4.4,92,,,,,,,,
14,15,Zoo Osnabrück,Osnabrück,"Der Zoo bietet eine außergewöhnliche Lernumgebung mit direktem Naturerlebnis für außerschulisches Lernen. Insgesamt leben im Zoo Osnabrück rund 300 verschiedene Tierarten. Tapire, Elefanten und Co. eignen sich besonders, um Schülern das Familienleben der verschiedenen Tierarten, die Anpassung an ihre Lebensräume oder den Klimawandel näher zu bringen. Denn Tiere motivieren und begeistern Kinder und das erleichtert die nachhaltige Verankerung von neuem Wissen enorm.",0,1,1,1,1,1,4.5,9563,,,,,,,,
15,16,Botanischer Garten Uni Osnabrück,Osnabrück,"Die Besucherinnen und Besucher erwartet eine kleine Überraschung. Zwei imposante Kalifornische Washingtonpalmen (Washingtonia fillifera) markieren gegenwärtig wie zwei riesige Wächter den Haupteingang des Gartens. Freuen dürfen sich die Pflanzenfreunde auch auf viele Baumfarne und rot blühende Zylinderputzer (Callistemon citrinus). Das sind nur einige von über 300 Kübelpflanzen, die ihr Überwinterungsquartier verlassen haben und im Garten an vielen Orten bewundert werden können. Zu entdecken gibt es außerdem besonders gekürte „Pflanzen des Jahres“ wie Esskastanie und Breitblättriges Knabenkraut. An den Steilhängen des Steinbruchs leuchten von weitem die roten Blütenstände der Spornblumen (Centranthus ruber) und erinnern an die Kreidefelsen von Dover.  
Die von der Landesregierung genehmigten Lockerungen setzen allerdings voraus, dass in allen Bereichen weiterhin strenge Hygienevorgaben und Mindestabstände eingehalten werden und der persönliche Kontakt auf ein Minimum reduziert bleibt. So bittet die Direktorin um Verständnis, dass die Sonntagsführungen der Grünen Schule noch entfallen und thematische Gartenrundgänge erst zu einem späteren Zeitpunkt wieder angeboten werden.
Auch das Regenwaldhaus und der zweite Steinbruch müssen zunächst geschlossen bleiben. Alle drei Eingänge werden geöffnet. Nur die zwei kleineren Tore im Bereich des Fußweges zwischen Gutenbergstraße und Caprivistraße bleiben verschlossen.
Da der zwingende Einsatz eines Sicherheitsdienstes mit Kosten verbunden ist, die aus dem Lehr- und Forschungsbudget der Universität bestritten werden müssen, wird der Botanische Garten zunächst zeitlich begrenzt geöffnet. Die für die Sommermonate regulären Öffnungszeiten werden reduziert und konzentrieren sich unter der Woche auf die Nachmittags- und Abendstunden.
Im Garten wird jetzt der Vorsommer eingeläutet. Die Blütenfülle zeigt sich dabei facettenreich und in vielerlei Farben und Formen: Direkt am Eingang macht der Schneeflockenstrauch mit seinen filigranen Blütenständen seinem Namen alle Ehre. Die ungewöhnlich blauen, sternförmigen Blüten der nordamerikanischen Amsonie, die ein wenig an Zierlauch erinnern, führen direkt zum außergewöhnlichen Duft des Gewürzstrauchs. Der Weg durch den Garten ist gesäumt von zahlreichen Akeleien und Wildrosen, Taglilien und Iris begleiten die Gewässerränder. „Auch wenn jetzt noch einzelne Einschränkungen bestehen, wünschen wir den Osnabrückerinnen und Osnabrückern wieder einen erlebnisreichen Besuch in unserem Garten, der derzeit in voller Blüte steht“, so Direktorin Prof. Zachgo.",0,0,1,1,0,1,4.5,57,,,,,,,,
16,17,Rathaus des Westfälischen Friedens,Osnabrück,"Das historische Rathaus im spätgotischen Stil wurde 1512 errichtet. Der Bau dauerte mehr als ein Vierteljahrhundert. Das ""Neue Rathaus auf der Alten Stadt"" war zu dieser Zeit eine recht moderne Einrichtung. Aber die Osnabrücker folgten mit diesem prächtigen Gebäude nicht nur dem Zeitgeist, sondern sie demonstrierten damit auch, dass sie auf dem Gipfel ihrer politischen Macht angekommen waren.

Das Osnabrücker Rathaus wird bestimmt durch ein 18 Meter hohes Walmdach, an dessen unteren Ende sich sechs Türme befinden. Die große Treppe führt von zwei Seiten zur Eingangstür. Die Türklinke zeigt eine Taube und die Jahreszahl 1648. Neben einem Modell der Stadt Osnabrück von 1633 können Besucher den Friedensaal besichtigen. Hier liegt auch ein Goldenes Buch aus, in dem man sich verewigen kann.",0,0,1,1,0,1,4.9,61,,,,,,,,
17,18,Nettebad Schwimmbad,Osnabrück,"Im Nettebad, dem Familienbad in Osnabrück, sind Spaß und gute Laune garantiert. Auch Fitness und Entspannung kommen nicht zu kurz. Wer einen Tag Urlaub vor der Haustür erleben möchten: Hier findet jeder ein reichhaltiges Angebot, das zu ihm passt.",1,1,1,1,1,1,4.3,3507,,,,,,,,
18,19,Alfsee Wasserski,Osnabrück,"Geniessen Sie das unglaubliche Gefühl beim Wasserski über das Wasser zu gleiten, eine Bootstour mit der Familie oder den Kollegen oder eine auf Sie zugeschnittene Feier in unserer Beach Bar, direkt am Wasser.
Weitere Info's erhalten sie auf unserer Homepage oder im direkten Kontakt.",0,1,0,1,1,0,4.4,388,,,,,,,,
19,20,Eissportcenter,Osnabrück,Kunstlauf oder Hockey. Eisspaß für die ganze Familie. Ruhiger in der Woche oder am Wochenende mit Disko.,1,1,1,1,1,0,4.1,836,,,,,,,,
20,21,Vegas Bowling,Osnabrück,"Auf 1700m2 erwarten euch 16 Bowlingbahnen, ein vielfältiges gastronomisches Angebot, 6 Billardtische, 1 Airhockeytisch, 2 Dart-Areas und 4 Fahrsimulatoren. Ob Kids, Studenten, Freizeit-Bowler oder Gruppen: Wir freuen uns auf euren Besuch.",1,1,1,1,0,1,3.8,679,,,,,,,,
21,22,Marienkirche Turmaussicht,Osnabrück,"Zur Pflege des Kulturguts zählt für den Verkehrsverein auch die Besteigung des Kirchturms der Bürgerkirche St. Marien in Osnabrück. Wer ihn besteigen will, muss hoch hinaus. 190 Treppenstufen sind es bis zur Aussichtsplattform in rund 50 Metern Höhe. Der Weg führt durch schmale mittelalterliche Steingänge und vorbei an den imposanten Kirchenglocken. Der Lohn: Ein einzigartiger Blick über Osnabrück.",0,1,1,1,0,1,4.5,31,,,,,,,,
22,23,Wochenmarkt am Riedenbach,Osnabrück,"Am Fuße der Josephskirche und umgeben von Grünanlagen ist der Freitagsmarkt rund um die Straße „Am Riedenbach“ im Stadtteil Schölerberg sicherlich einer der reizvollsten Wochenmärkte Osnabrücks. Traditionelle Markthändler, regionale Anbieter sowie Spezialitätenstände reihen sich aneinander und laden zum Einkaufen und Verweilen ein.",0,0,0,1,0,1,4.8,56,,,,,,,,
23,24,UpSprung Trampolinhalle,Osnabrück,"Die UpSprung GmbH – die angesagte Trampolinhalle in Osnabrück-Hellern. Wir sind ein riesiger Trampolin- und Spielepark, auf einer Fläche von ca. 4.000m². Neben den unzähligen Trampolinen erwartet euch auch ein Indoorspielplatz mit Klettervulkan. Durchlauft verschiedene Bereiche, springt über Hindernisse, lasst euch beim Hangeln in die Schaumstoffgrube fallen oder probiert coole Tricks beim Sprung ins große Luftkissen. Lasst euch nicht das einmalige Action-Highlight entgehen und testet unsere NINJA BOX und den BOUNCE TRACK. Hier müsst ihr verschiedene Hindernisse überwinden, so wie ihr es bei „Ninja Warrior“ oder „Big Bounce“ auf RTL zurzeit sehen könnt! Seid ihr bereit für einen neuen Rekord? Dann kommt vorbei und drückt den Buzzer!'",1,1,1,1,1,0,4.7,376,,,,,,,,
24,25,Elektro-Kartbahn Osnabrück,Osnabrück,"Die Rennstrecke in der 3000 Quadratmeter großen Halle ist 470 Meter lang und führt über zwei Ebenen. Auf speziellem Rennasphalt winden sich acht Links- und sieben Rechtskurven. Fahrbahnbreiten zwischen 4 und 7,5 Meter versprechen diverse Überholmöglichkeiten. Hinzu kommt eine 50 Meter lange Highspeed-Gerade.

Die mit Ökostrom betriebenen E-Karts sind bis zu 60 Stundenkilometer schnell. Angetrieben werden sie von jeweils zwei Elektromotoren, die zusammen 31 PS leisten. Zusätzlich sind die emissionsfreien Flitzer mit einem „Boost-Button“, also einer Art Turboknopf, ausgestattet. Er gewährt den Fahrern drei Sekunden lang eine Extra-Motorleistung von drei Kilowatt. Eine Runde dauert den Angaben zufolge etwa 43 Sekunden.",1,1,0,1,1,0,4.4,683,,,,,,,,
25,26,Munipical Theater ,Osnabrück,,1,1,0,1,0,1,4.3,463,,,,,,,,
26,27,Schloss Osnabrück,Osnabrück,"Das Osnabrücker Schloss war die Residenz des protestantischen Osnabrücker Fürstbischofs Ernst August I. von Braunschweig-Lüneburg und seiner Frau Sophie von der Pfalz. Es ist seit 1974 Sitz der Verwaltung der Universität Osnabrück. Das Gebäude samt Gartenanlage, die Skulpturen im Schlossgarten einschließlich des Lyra-Denkmals stehen unter Denkmalschutz.",0,0,0,1,0,1,4.4,348,,,,,,,,
27,28,Varusschlacht,Osnabrück,"Von der Ausgrabung zum Museum
Mehr als 2000 Jahre nach der Schlacht zwischen Römern und Germanen ist Kalkriese auch heute noch ein besonderer Ort. Seit fast 30 Jahren finden hier wissenschaftliche Untersuchungen zur Varusschlacht statt, und Jahr für Jahr bietet die archäologische Forschung neue Einblicke in die tragische Feldschlacht.

Kalkriese ist allerdings nicht nur ein spektakulärer Fundort, sondern zugleich ein Bodendenkmal, dessen Charakter und Ausdehnung Forschung und Denkmalpflege vor bisher ungekannte Herausforderungen stellt. Viele Universitäten und Forschungsinstitute unterschiedlicher Disziplinen sind aus diesem Grund in die Untersuchungen eingebunden.

Doch die Forschung allein steht hier nicht im Mittelpunkt, hinzu kommt als zentrale Aufgabe die Vermittlung an eine breite Öffentlichkeit.

Das Museum am Schauplatz des Geschehens versteht sich als Schaufenster aktueller Wissenschaft. Ausstellungen präsentieren neueste Ergebnisse, Führungen und Vorträge liefern Einblicke in die laufende Forschung und unsere Veranstaltungen finden immer neue Wege, die Geschichte in Worte, Bilder und Töne zu fassen.

Seit der Eröffnung im Jahr 2002 wurde das Museum mehrfach ausgezeichnet, darunter 2004 als erste archäologische Einrichtung mit dem Europa Nostra Award als europäisches Kulturerbe.",0,1,1,1,1,0,4.3,1147,,,,,,,,
28,29,Baumwipfelpfad,Osnabrück,"600 Meter Natur, Geologie, Geschichte und Waldpersönlichkeit
Ein perfektes Ausflugziel für die ganze Familie. Der Baumwipfelpfad bietet neue und spannende Sichten auf den Waldkurpark und das Iburger Schloss. Auf dem Pfad informieren 30 Erlebnis- und Lernstationen über Flora, Fauna, Geologie, Geschichte und Waldpersönlichkeit.

Um 1600 wurde vom Fürstbischof Philipp Sigismund ein zum Schloss gehöriger Tiergarten im Bereich des heutigen Waldkurparks angelegt, wo heute der Baumwipfelpfad in die Höhen führt.",0,1,1,1,1,1,4.5,607,,,,,,,,
29,30,Minigolf Nettetal,Osnabrück,"Minigolf spielen macht sowieso Spaß. Der wird aber noch zusätzlich maximiert, wenn die Anlage Leistungssportkriterien entspricht und deren Lage eine ganz besondere ist. So wie die im Nettetal am nördlichen Stadtrand von Osnabrück. Seit Juli 2006 thront oberhalb der alten Mühle und des Gasthauses Knollmeyer eine Minigolf-Anlage, die ihresgleichen sucht. In allerfeinster Hanglage verteilen sich hier die 18 klassischen, 12 Meter langen Betonbahnen über mehrere, liebevoll begrünte Terrassen-Ebenen, auf denen massive Holzbänke außerdem zum verweilen bei Kaltgetränken, Snacks, Eis und nicht zuletzt exzellentem Kaffee aus eigener Röstung einladen. Im Jahr 2008 hat sich auf einem Plateau unterhalb des markanten Minigolf-Hügels eine kleinere Eternit-Anlage dazugesellt, die zuvor bereits in der Sendung ""Jetzt wird eingelocht"" Fernsehkarriere gemacht hatte.",0,1,1,1,0,1,4.5,122,,,,,,,,
